par_nr	head	sentence
1	 Habemeajaja 	 Habemeajaja 
2	NA	 Arvo Uustalu 
3	NA	 Habemeajamisel tarvitan ma teravaks ihutud žiletti . 
3	NA	 Aeg-ajalt võib mõne taolisega küll sisse lõigata , kuid ainult kiirustades , või kui tera on liiga nüri – piisav ainult veenide läbi lõikamiseks . 
3	NA	 Eks siis tuleb kergele nahahaavale süljega niisutatud ajalehetükikesi peale panna . 
3	NA	 Allergikud ei tohiks aga unustada , et trükivärv sisaldab naha rasvkudet ärritavaid kantserogeenseid aineid . 
3	NA	 Tean juhuseid , kus ajalehepaberi rohke tarvitamine on põhjustanud koguni pärakuvähki . 
4	NA	 Siiski , vaevalt et ajalehetükikeste näopiirkonna mikrohaavadele asetamine sellessamuses kasvajaid tekitab . 
4	NA	 Kui , siis tõesti allergikutel vereringe kaudu . 
4	NA	 Samas mäletan selgelt , kuidas nooremseersant Urjukov teatud soolikast verd köhis ja söögivalmistaja peale kartulikoorimisnuga teritas . 
4	NA	 Kuid ka oma tumedaimates fantaasiates ei osanud kogenematu nooremseersant arvata , mille kätte ta tegelikult sureb . 
5	NA	 See surm oli vähemalt kaks korda valulisem kui persest vere ning soolikate köhimine . 
6	NA	 Vähemalt kaks korda . 
7	NA	 Mäletan seda selgelt . 
8	NA	 Kuidas ta karjus . 
9	NA	 Tugeva sisemise pingega . 
10	NA	 Ja välimise pingega . 
11	NA	 Nagu veristatav kult . 
12	NA	 Esialgu vaikselt , siis üha kõvemini . 
13	NA	 Kõvemini . 
14	NA	 Kõvemini … . 
15	NA	 Ta silmist ei paistnud kübetki vene intelligentsile nõnda omast olukorrast huumoriga üleolekut . 
15	NA	 Üleolekut ka siis , kui Leningradi blokaadi ajal rotti või oma hirmkõhna last pimedas keldris sai järatud . 
15	NA	 Pimedas seetõttu , et teised intelligendid jaole ei saaks . 
15	NA	 Ainult vahel harva , intiimses ja härdas meestevahelises ringis , lipsab see tal keelele . 
16	NA	 Ei ühtegi rõõmusädet silmis . 
17	NA	 Ma ei tea , mida nooremseersant toona mõtles , kuid kindlasti mitte anekdooti porutÜik Rževskist . 
18	NA	 Väärikalt saab eluraskusi kanda ja seejärel surra vaid see , kellel neid raskusi pole teele ette juhtunud , kes ei ole neid nuusutadagi saanud . 
